Note: 


Addr	Number	Disass
4039c7	12	mov r12, qword ptr [rsp+0x18]
4039cc	12	mov r13, qword ptr [rsp+0x20]
4039d1	12	add rsp, 0x28
4039d5	12	ret 
4039e0	1	mov qword ptr [rsp-0x18], rbx
4039e5	1	mov qword ptr [rsp-0x10], rbp
4039ea	1	mov rbx, rdi
4039ed	1	mov qword ptr [rsp-0x8], r12
4039f2	1	mov edi, 0x10
4039f7	1	sub rsp, 0x18
4039fb	1	mov r12, rsi
4039fe	1	call 0x4053b0
403a03	1	mov rdi, r12
403a06	1	mov rbp, rax
403a09	1	call 0x4054d0
403a0e	1	mov qword ptr [rbp+0x8], rbx
403a12	1	mov qword ptr [rbp], rax
403a16	1	mov rax, rbp
403a19	1	mov rbx, qword ptr [rsp]
403a1d	1	mov rbp, qword ptr [rsp+0x8]
403a22	1	mov r12, qword ptr [rsp+0x10]
403a27	1	add rsp, 0x18
403a2b	1	ret 
403a30	1	push r12
403a32	1	test rdi, rdi
403a35	1	push rbp
403a36	1	push rbx
403a37	1	mov rbx, rdi
403a3a	1	jz 0x403ae0
403a40	1	mov rdi, qword ptr [rdi]
403a43	1	test rdi, rdi
403a46	1	jz 0x403a4d
403a48	1	call 0x400ff0
403a4d	1	mov rdi, qword ptr [rbx+0x20]
403a51	1	test rdi, rdi
403a54	1	jz 0x403a5f
403a56	1	mov rsi, qword ptr [rbx+0x18]
403a5a	1	call 0x4011d0
403a5f	1	mov rdi, qword ptr [rbx+0x30]
403a63	1	test rdi, rdi
403a66	1	jnz 0x403a73
403a70	9	mov rdi, rbp
403a73	10	mov rbp, qword ptr [rdi+0x18]
403a77	10	call 0x400ff0
403a7c	10	test rbp, rbp
403a7f	10	jnz 0x403a70
403a81	1	mov rdi, qword ptr [rbx+0x28]
403a85	1	test rdi, rdi
403a88	1	jnz 0x403a93
403a90	1	mov rdi, rbp
403a93	2	mov rbp, qword ptr [rdi+0x18]
403a97	2	call 0x400ff0
403a9c	2	test rbp, rbp
403a9f	2	jnz 0x403a90
